MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
BD+46   438,01 45 17.5671,+47 17 52.482,14,14,0.0162,0.015,90,A,O,2020yCat.1350....0G,1.2136,9.94,11.33,Star,0,0.8239947264337508,15.36037783889337,5.6474040954783274e-05,1.3900000000000006,3966.82868890302
BD+46   441,01 45 33.9643,+47 03 23.622,14,14,0.0245,0.0197,90,A,O,2020yCat.1350....0G,0.8505,9.01,10.66,Star,0,1.1757789535567313,13.658371589742938,0.000270801686113469,1.6500000000000004,3581.002790082214
BD+46   444,01 46 07.4788,+47 27 28.463,14,14,0.0161,0.0156,90,A,O,2020yCat.1350....0G,2.7709,9.98,10.42,Star,0,0.360893572485474,17.19310426328169,1.04413894503308e-05,0.4399999999999995,6674.161523966188
HD   9367,01 33 07.0722,+46 33 14.822,14,14,0.0213,0.0182,90,A,O,2020yCat.1350....0G,2.5646,9.81,10.12,Star,0,0.38992435467519304,16.85509818965747,1.4254786731597616e-05,0.3099999999999987,7398.896776490714
HD   9547,01 34 34.7922,+46 31 32.463,14,14,0.092,0.0841,90,A,O,2020yCat.1350....0G,2.3981,9.47,9.77,Star,0,0.41699678912472377,16.369336445404393,2.2297974878612122e-05,0.29999999999999893,7461.863794100643
HD   9726,01 36 08.3468,+46 21 10.046,14,14,0.0232,0.0165,90,A,O,2020yCat.1350....0G,1.8398,9.33,9.37,Star,0,0.5435373410153277,15.653853072609326,4.309816415182661e-05,0.03999999999999915,9652.20313612446
HD   9861,01 37 16.9058,+46 27 34.554,14,14,0.0216,0.0162,90,A,O,2020yCat.1350....0G,6.8527,7.83,8.26,Star,0,0.14592788244049792,17.009308597656627,1.2367347417174853e-05,0.4299999999999997,6724.417656800526
HD   9977,01 38 25.4018,+46 25 32.561,14,14,0.05,0.0394,90,A,O,2020yCat.1350....0G,8.2902,8.54,9.13,EmLine*,0,0.12062435164410991,18.132825039873588,4.39410048334187e-06,0.5900000000000016,6006.976021238372
HD  10006,01 38 42.8315,+46 20 47.258,14,14,0.0172,0.0139,90,A,O,2020yCat.1350....0G,1.8583,7.43,8.84,Star,0,0.5381262444169402,13.775579134475596,0.00024309070111606267,1.4100000000000001,3934.098141087185
BD+45   414,01 41 19.6633,+46 22 25.313,14,14,0.026,0.0218,90,A,O,2020yCat.1350....0G,1.7374,9.77,11.24,SB*,0,0.5755726948313572,15.96949908588484,3.222555203056457e-05,1.4700000000000006,3839.1950178350357
HD  10274,01 41 27.9175,+46 24 45.322,14,14,0.0303,0.0259,90,A,O,2020yCat.1350....0G,2.3039,8.45,8.47,Star,0,0.4340466166066235,15.26231812377606,6.181199353283906e-05,0.02000000000000135,9882.422536788885
BD+45   417,01 41 36.8908,+46 40 09.178,14,14,0.0232,0.0194,90,A,O,2020yCat.1350....0G,0.6507,9.91,11.54,Star,0,1.5368065160596283,13.976904033669278,0.00020194745597462265,1.629999999999999,3607.9005063404215
TYC 3282-1755-1,01 39 01.5524,+47 49 25.981,14,14,0.058,0.0467,90,A,O,2020yCat.1350....0G,3.6404,9.94,10.5,Star,0,0.27469508845181845,17.745745528476775,6.2762724611049824e-06,0.5600000000000005,6128.7113367034735
HD   8979,01 29 22.5711,+46 02 19.646,14,14,0.0385,0.0314,90,A,O,2020yCat.1350....0G,1.7466,9.75,10.95,Star,0,0.5725409366769725,15.960967279112271,3.247978070642232e-05,1.1999999999999993,4308.727009145041
HD   9385,01 33 10.1677,+46 06 38.901,14,14,0.0831,0.0752,90,A,O,2020yCat.1350....0G,4.1637,9.77,10.81,SB*,0,0.2401710017532483,17.86739715241754,5.611011244499006e-06,1.040000000000001,4648.707065457258
