MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
BD+54  2481,21 07 47.0189,+55 18 39.458,14,14,0.015,0.0159,90,A,O,2020yCat.1350....0G,2.1818,9.56,9.81,Star,0
HD 235452,21 09 30.4993,+55 18 42.005,14,14,0.0137,0.0146,90,A,O,2020yCat.1350....0G,1.8541,9.09,10.84,Star,0
HD 201976,21 10 58.4586,+55 16 24.836,14,14,0.0204,0.0214,90,A,O,2020yCat.1350....0G,2.2305,8.71,8.73,Star,0
HD 202235,21 12 24.7279,+54 42 01.852,14,14,0.0172,0.0166,90,A,O,2020yCat.1350....0G,2.2086,8.62,10.0,Star,0
HD 202529,21 14 22.5394,+54 39 59.944,14,14,0.1293,0.1269,90,A,O,2020yCat.1350....0G,9.073,7.51,7.88,HighPM*,0
BD+54  2535,21 24 59.1902,+55 35 43.767,14,14,0.0187,0.0181,90,A,O,2020yCat.1350....0G,0.9891,9.72,11.93,Star,0
TYC 3956-200-1,21 05 49.3654,+55 58 17.224,14,14,0.0548,0.0563,90,A,O,2020yCat.1350....0G,2.231,9.55,10.77,SB*,0
TYC 3957-1400-1,21 19 04.1970,+55 19 08.706,14,14,0.0273,0.0272,90,A,O,2020yCat.1350....0G,2.7904,9.87,10.86,SB*,0
TYC 3957-1592-1,21 08 19.2331,+55 45 26.971,14,14,0.0094,0.0093,90,A,O,2020yCat.1350....0G,1.6341,9.95,10.6,Star,0
TYC 3960-1384-1,21 05 34.5285,+56 33 07.916,14,14,0.0103,0.0091,90,A,O,2020yCat.1350....0G,3.3381,9.88,10.93,Star,0
TYC 3961-1128-1,21 08 28.6579,+56 29 01.163,14,14,0.0129,0.013,90,A,O,2020yCat.1350....0G,2.3578,9.88,10.05,Star,0
TYC 3961-1370-1,21 07 34.1937,+56 40 20.609,14,14,0.0092,0.0087,90,A,O,2020yCat.1350....0G,8.7188,9.99,10.63,HighPM*,0
TYC 3961-1592-1,21 17 39.3376,+56 38 17.443,14,14,0.0626,0.07,90,A,O,2020yCat.1350....0G,2.6654,9.84,10.03,Star,0
TYC 3970-548-1,21 26 56.1358,+55 52 09.438,14,14,0.0121,0.0112,90,A,O,2020yCat.1350....0G,5.3685,9.57,10.64,Star,0
TYC 3970-1046-1,21 25 37.1681,+56 01 31.839,14,14,0.0122,0.0119,90,A,O,2020yCat.1350....0G,2.2189,9.44,10.57,Star,0
TYC 3970-1248-1,21 24 44.4963,+55 53 37.059,14,14,0.0173,0.0173,90,A,O,2020yCat.1350....0G,1.5017,9.96,11.68,Star,0
TYC 3974-650-1,21 23 33.7783,+56 16 56.366,14,14,0.0126,0.0125,90,A,O,2020yCat.1350....0G,6.6594,9.98,10.47,Star,0
IRAS 21329+5615,21 34 31.6204,+56 28 44.958,14,14,0.0124,0.0133,90,A,O,2020yCat.1350....0G,1.4726,9.69,11.62,Star,0
HD 204410,21 26 06.4796,+58 42 15.497,14,14,0.0165,0.0193,90,A,O,2020yCat.1350....0G,3.6336,8.22,9.27,Star,0
HD 239688,21 30 30.7954,+59 10 53.074,14,14,0.0147,0.0137,90,A,O,2020yCat.1350....0G,2.7666,8.53,9.88,Star,0
HD 205396B,21 32 48.6960,+58 39 32.142,14,14,0.0117,0.0133,90,A,O,2020yCat.1350....0G,4.713,9.55,9.83,Star,0
HD 239657,21 24 34.6459,+58 28 32.053,14,14,0.01,0.0103,90,A,O,2020yCat.1350....0G,9.9872,9.376,9.911,HighPM*,0
HD 204321,21 25 33.6378,+58 14 04.325,14,14,0.0224,0.0204,90,A,O,2020yCat.1350....0G,5.6908,7.65,7.73,Star,0
HD 239677,21 27 49.3287,+58 22 08.279,14,14,0.0121,0.0126,90,A,O,2020yCat.1350....0G,2.6103,8.86,10.07,Star,0
HD 204993,21 30 09.9105,+58 15 04.730,14,14,0.0242,0.0234,90,A,O,2020yCat.1350....0G,2.7373,8.99,9.27,Star,0
HD 205038,21 30 26.0981,+58 18 58.043,14,14,0.0137,0.0131,90,A,O,2020yCat.1350....0G,3.3144,8.86,9.1,Star,0
HD 205140,21 31 18.8137,+58 15 17.905,14,14,0.0131,0.0122,90,A,O,2020yCat.1350....0G,5.1856,8.8,9.23,Star,0
HD 205269,21 32 00.0069,+58 36 33.360,14,14,0.0165,0.0172,90,A,O,2020yCat.1350....0G,4.9103,8.07,8.39,Star,0
HD 239635,21 20 22.4675,+57 49 44.276,14,14,0.0138,0.0126,90,A,O,2020yCat.1350....0G,1.7458,9.51,11.19,Star,0
HD 239641,21 22 06.7943,+57 39 46.559,14,14,0.01,0.0099,90,A,O,2020yCat.1350....0G,3.0547,9.54,10.08,Star,0
HD 239645,21 23 00.3159,+57 40 58.468,14,14,0.0158,0.0147,90,A,O,2020yCat.1350....0G,4.5747,8.61,9.01,Star,0
HD 204067,21 23 50.7640,+57 56 24.829,14,14,0.0152,0.0151,90,A,O,2020yCat.1350....0G,4.3601,7.7,8.78,Star,0
HD 239651,21 24 11.5138,+57 47 32.315,14,14,0.0104,0.0115,90,A,O,2020yCat.1350....0G,2.445,9.27,10.47,Star,0
HD 239653,21 24 13.8188,+58 08 03.582,14,14,0.023,0.0199,90,A,O,2020yCat.1350....0G,3.166,9.08,9.31,Star,0
HD 239661,21 25 12.2814,+58 10 00.629,14,14,0.0152,0.0161,90,A,O,2020yCat.1350....0G,2.9007,8.15,9.41,Star,0
HD 239679,21 28 14.1979,+58 03 28.305,14,14,0.0298,0.0289,90,A,O,2020yCat.1350....0G,3.1237,9.57,9.88,Star,0
HD 239690,21 30 52.4246,+57 46 08.481,14,14,0.0104,0.0104,90,A,O,2020yCat.1350....0G,1.4828,9.49,11.01,Star,0
HD 239693,21 31 25.9467,+57 53 56.492,14,14,0.0143,0.0143,90,A,O,2020yCat.1350....0G,1.0975,9.54,9.77,Star,0
HD 205510,21 33 41.7059,+58 11 45.232,14,14,0.0159,0.0186,90,A,O,2020yCat.1350....0G,7.3051,7.88,8.1,Star,0
HD 239701,21 34 21.7280,+58 03 28.448,14,14,0.01,0.0113,90,A,O,2020yCat.1350....0G,2.2344,9.33,10.53,Star,0
HD 239712,21 36 59.6409,+58 08 24.600,14,14,0.0137,0.0152,90,A,O,2020yCat.1350....0G,1.402,8.54,8.93,Be*,0
HD 206328,21 39 21.3749,+57 52 39.977,14,14,0.0133,0.0129,90,A,O,2020yCat.1350....0G,3.8087,8.03,9.06,Star,0
HD 203762,21 22 08.5115,+57 20 05.013,14,14,0.0152,0.0156,90,A,O,2020yCat.1350....0G,2.6491,8.05,9.43,Star,0
HD 239643,21 22 18.4041,+57 32 32.936,14,14,0.0124,0.0116,90,A,O,2020yCat.1350....0G,11.9378,8.63,9.16,HighPM*,0
HD 203802,21 22 20.5055,+57 33 54.831,9,9,5.54,5.19,90,A,O,2007A&A...474..653V,10.37,8.92,9.32,**,0
